trialN	riskCtrl	riskRx	nonSig	RxBenefit
12000	0.03	0.03	955673	22152
12000	0.03	0.02	66067	933932
12000	0.03	0.01	0	1000000
12000	0.04	0.04	955193	22390
12000	0.04	0.03	164325	835675
12000	0.04	0.02	2	999998
12000	0.04	0.01	0	1000000
12000	0.05	0.05	954577	22726
12000	0.05	0.04	259541	740458
12000	0.05	0.03	155	999845
12000	0.05	0.02	0	1000000
12000	0.05	0.01	0	1000000
12000	0.06	0.06	954277	22941
12000	0.06	0.05	342703	657293
12000	0.06	0.04	1119	998881
12000	0.06	0.03	0	1000000
12000	0.06	0.02	0	1000000
12000	0.06	0.01	0	1000000
12000	0.07	0.07	954351	22891
12000	0.07	0.06	411160	588827
12000	0.07	0.05	4286	995714
12000	0.07	0.04	0	1000000
12000	0.07	0.03	0	1000000
12000	0.07	0.02	0	1000000
12000	0.07	0.01	0	1000000
12000	0.08	0.08	954027	23109
12000	0.08	0.07	465152	534824
12000	0.08	0.06	10373	989627
12000	0.08	0.05	2	999998
12000	0.08	0.04	0	1000000
12000	0.08	0.03	0	1000000
12000	0.08	0.02	0	1000000
12000	0.08	0.01	0	1000000
12000	0.09	0.09	953500	23258
12000	0.09	0.08	510552	489410
12000	0.09	0.07	19855	980145
12000	0.09	0.06	8	999992
12000	0.09	0.05	0	1000000
12000	0.09	0.04	0	1000000
12000	0.09	0.03	0	1000000
12000	0.09	0.02	0	1000000
12000	0.09	0.01	0	1000000
12000	0.1	0.1	953487	23398
12000	0.1	0.09	547921	452023
12000	0.1	0.08	32700	967300
12000	0.1	0.07	43	999957
12000	0.1	0.06	0	1000000
12000	0.1	0.05	0	1000000
12000	0.1	0.04	0	1000000
12000	0.1	0.03	0	1000000
12000	0.1	0.02	0	1000000
12000	0.1	0.01	0	1000000
12000	0.11	0.11	953086	23360
12000	0.11	0.1	580737	419176
12000	0.11	0.09	47994	952006
12000
