trialN	riskCtrl	riskRx	nonSig	RxHarm	RxBenefit
40	0.03	0.03	999716	146	138
40	0.03	0.02	999781	32	187
40	0.03	0.01	999774	2	224
40	0.04	0.04	999139	462	399
40	0.04	0.03	999371	107	522
40	0.04	0.02	999346	19	635
40	0.04	0.01	999242	1	757
40	0.05	0.05	998104	942	954
40	0.05	0.04	998528	361	1111
40	0.05	0.03	998543	98	1359
40	0.05	0.02	998304	17	1679
40	0.05	0.01	997970	0	2030
40	0.06	0.06	996568	1752	1680
40	0.06	0.05	997104	809	2087
40	0.06	0.04	997248	277	2475
40	0.06	0.03	996850	80	3070
40	0.06	0.02	996258	15	3727
40	0.06	0.01	995368	0	4632
40	0.07	0.07	994749	2602	2649
40	0.07	0.06	995406	1378	3216
40	0.07	0.05	995352	632	4016
40	0.07	0.04	994902	242	4856
40	0.07	0.03	993872	63	6065
40	0.07	0.02	992628	11	7361
40	0.07	0.01	991040	0	8960
40	0.08	0.08	992763	3647	3590
40	0.08	0.07	993333	2106	4561
40	0.08	0.06	993275	1094	5631
40	0.08	0.05	992665	487	6848
40	0.08	0.04	991494	177	8329
40	0.08	0.03	989662	56	10282
40	0.08	0.02	987506	9	12485
40	0.08	0.01	984841	0	15159
40	0.09	0.09	990264	4833	4903
40	0.09	0.08	991175	2958	5867
40	0.09	0.07	990969	1630	7401
40	0.09	0.06	990059	882	9059
40	0.09	0.05	988532	414	11054
40	0.09	0.04	986420	168	13412
40	0.09	0.03	983622	38	16340
40	0.09	0.02	980331	11	19658
40	0.09	0.01	975882	0	24118
40	0.1	0.1	988335	5841	5824
40	0.1	0.09	988759	3895	7346
40	0.1	0.08	988738	2403	8859
40	0.1	0.07	987688	1367	10945
40	0.1	0.06	985939	731	13330
40	0.1	0.05	983304	303	16393
40	0.1	0.04	979851	138	20011
40	0.1	0.03	975736	27	24237
40	0.1	0.02	970525	4	29471
40	0.1	0.01	964295	0	35705
40	0.11	0.11	985968	7028	7004
40	0.11	0.1	986642	4845	8513
40	0.11	0.09	986509	3110	10381
40	0.11	0.08	985392	1916	12692
40	0.11	0.07	983077	1126	15797
40	0.11	0.06	980207	565	19228
40	0.11	0.05	976148	276	23576
40	0.11	0.04	971593	109	28298
40	0.11	0.03	965364	29	34607
40	0.11	0.02	958226	2	41772
